"x","frequencies","std"
0.7,1.0,0.0
0.8,1.0,0.0
0.9,1.0,0.0
1.0,1.0,0.0
1.1,1.0952380952380953,0.30079260375911915
1.2,1.1176470588235294,0.3321055820775357
1.3,1.2,0.408248290463863
1.4,1.25,0.4472135954999579
1.5,1.275,0.7156671622894872
1.6,1.3333333333333333,0.5222329678670935
1.7,1.3125,0.511828179281273
1.8,1.5081967213114753,0.6738682071857506
1.9,1.7464788732394365,0.9368382976671348
2.0,1.935064935064935,1.2067536086723527
2.1,2.01123595505618,1.1431056383863765
2.2,2.5625,1.2205388932243895
2.3,3.21505376344086,1.6606013994778033
2.4,3.4226804123711343,1.7667947175275236
2.5,4.7272727272727275,1.8059888004386497
2.6,5.97,2.380285187904503
2.7,7.32,2.8564299254824927
2.8,9.9,3.046773421642686
2.9,13.25,3.8882755649113747
3.0,17.48,4.176606326198389
3.1,25.14,4.9523384946564954
3.2,35.25,5.352946889708547
3.3,53.2,7.025207139546517
3.4,85.09,8.186086989644089
3.5,148.39,12.260551011725006
3.6,294.94,16.567474524537893
3.7,782.17,22.46661046661436
3.8,1341.92,33.88324576297766
3.9,1619.84,34.10522043039835
4.0,1857.81,42.63248986300462
4.1,1962.81,39.81768933323961
4.2,840.68,25.958350479103242
4.3,338.69,21.731462551942165
4.4,181.59,14.037536259701138
4.5,106.23,10.430002372720223
4.6,68.06,8.177105264398307
4.7,46.62,7.598218823706598
4.8,33.17,6.045375559596414
4.9,23.65,4.897690653499232
5.0,17.37,5.165258850231902
5.1,12.74,3.286396817245909
5.2,9.84,2.880516227583823
5.3,7.6899999999999995,2.7622820312564067
5.4,6.01,2.472045731981935
5.5,4.91,2.0454186304366577
5.6,4.27,1.8359760567088232
5.7,3.36734693877551,1.7073990293434347
5.8,2.6483516483516483,1.328103295628154
5.9,2.4404761904761907,1.3740380247293669
6.0,2.0,0.981761387347632
6.1,1.7307692307692308,0.9625868410556143
6.2,1.5846153846153848,0.6821910402406465
6.3,1.4754098360655736,0.6220010015278427
6.4,1.2916666666666667,0.4593396431851038
6.5,1.3658536585365852,0.5812098399449036
6.6,1.2045454545454546,0.40803245735839216
6.7,1.4285714285714286,0.7390659560519331
6.8,1.1935483870967742,0.4016096644512494
6.9,1.04,0.2
7.0,1.125,0.3378319623460881
7.1,1.0769230769230769,0.2773500981126146
7.2,1.0,0.0
7.3,1.0,0.0
7.4,1.0909090909090908,0.30151134457776363
7.5,1.1,0.31622776601683794
7.6,1.0,0.0
7.7,1.0,0.0
7.8,1.0,0.0
7.9,1.0,0.0
8.0,1.0,0.0
8.1,1.0,0.0
8.3,1.0,0.0
8.4,1.0,0.0
8.7,1.0,0.0
8.8,1.0,0.0
8.9,1.0,0.0
9.7,1.0,0.0